timestamp,payload
2025-06-05T19:18:19,
2025-06-05T19:18:19,--- BME280 Sensor Data ---
2025-06-05T19:18:19,Temperature: 26.10 °C
2025-06-05T19:18:19,Pressure: 987.59 hPa
2025-06-05T19:18:19,Humidity: 57.79 %
2025-06-05T19:18:19,
2025-06-05T19:18:23,The estimated value based on Rs/R0=9.65 is: 16.90 ppm
2025-06-05T19:18:23,--- BME280 Sensor Data ---
2025-06-05T19:18:23,Temperature: 26.10 °C
2025-06-05T19:18:23,Pressure: 987.59 hPa
2025-06-05T19:18:23,Humidity: 57.74 %
2025-06-05T19:18:23,
2025-06-05T19:18:27,The estimated value based on Rs/R0=9.82 is: 16.38 ppm
2025-06-05T19:18:27,--- BME280 Sensor Data ---
2025-06-05T19:18:27,Temperature: 26.11 °C
2025-06-05T19:18:27,Pressure: 987.60 hPa
2025-06-05T19:18:27,Humidity: 57.77 %
2025-06-05T19:18:27,
2025-06-05T19:18:31,The estimated value based on Rs/R0=9.68 is: 16.81 ppm
2025-06-05T19:18:31,--- BME280 Sensor Data ---
2025-06-05T19:18:31,Temperature: 26.11 °C
2025-06-05T19:18:31,Pressure: 987.59 hPa
2025-06-05T19:18:32,Humidity: 57.71 %
2025-06-05T19:18:32,
2025-06-05T19:18:36,The estimated value based on Rs/R0=9.62 is: 16.99 ppm
2025-06-05T19:18:36,--- BME280 Sensor Data ---
2025-06-05T19:18:36,Temperature: 26.11 °C
2025-06-05T19:18:36,Pressure: 987.59 hPa
2025-06-05T19:18:36,Humidity: 57.65 %
2025-06-05T19:18:36,
2025-06-05T19:18:40,The estimated value based on Rs/R0=9.62 is: 16.99 ppm
2025-06-05T19:18:40,--- BME280 Sensor Data ---
2025-06-05T19:18:40,Temperature: 26.12 °C
2025-06-05T19:18:40,Pressure: 987.59 hPa
2025-06-05T19:18:40,Humidity: 57.68 %
2025-06-05T19:18:40,
2025-06-05T19:18:44,The estimated value based on Rs/R0=9.65 is: 16.90 ppm
2025-06-05T19:18:44,--- BME280 Sensor Data ---
2025-06-05T19:18:44,Temperature: 26.12 °C
2025-06-05T19:18:44,Pressure: 987.59 hPa
2025-06-05T19:18:44,Humidity: 57.62 %
2025-06-05T19:18:44,
2025-06-05T19:18:49,The estimated value based on Rs/R0=9.76 is: 16.55 ppm
2025-06-05T19:18:49,--- BME280 Sensor Data ---
2025-06-05T19:18:49,Temperature: 26.13 °C
2025-06-05T19:18:49,Pressure: 987.59 hPa
2025-06-05T19:18:49,Humidity: 57.62 %
2025-06-05T19:18:49,
2025-06-05T19:18:53,The estimated value based on Rs/R0=9.65 is: 16.90 ppm
2025-06-05T19:18:53,--- BME280 Sensor Data ---
2025-06-05T19:18:53,Temperature: 26.13 °C
2025-06-05T19:18:53,Pressure: 987.58 hPa
2025-06-05T19:18:53,Humidity: 57.61 %
2025-06-05T19:18:53,
2025-06-05T19:18:57,The estimated value based on Rs/R0=9.65 is: 16.90 ppm
2025-06-05T19:18:57,--- BME280 Sensor Data ---
2025-06-05T19:18:57,Temperature: 26.13 °C
2025-06-05T19:18:57,Pressure: 987.58 hPa
2025-06-05T19:18:57,Humidity: 57.57 %
2025-06-05T19:18:57,
2025-06-05T19:19:01,The estimated value based on Rs/R0=9.56 is: 17.17 ppm
2025-06-05T19:19:01,--- BME280 Sensor Data ---
2025-06-05T19:19:01,Temperature: 26.14 °C
2025-06-05T19:19:01,Pressure: 987.57 hPa
2025-06-05T19:19:01,Humidity: 57.58 %
2025-06-05T19:19:01,
2025-06-05T19:19:06,The estimated value based on Rs/R0=9.76 is: 16.55 ppm
2025-06-05T19:19:06,--- BME280 Sensor Data ---
2025-06-05T19:19:06,Temperature: 26.13 °C
2025-06-05T19:19:06,Pressure: 987.56 hPa
2025-06-05T19:19:06,Humidity: 57.55 %
2025-06-05T19:19:06,
2025-06-05T19:19:10,The estimated value based on Rs/R0=9.76 is: 16.55 ppm
2025-06-05T19:19:10,--- BME280 Sensor Data ---
2025-06-05T19:19:10,Temperature: 26.13 °C
2025-06-05T19:19:10,Pressure: 987.57 hPa
2025-06-05T19:19:10,Humidity: 57.51 %
2025-06-05T19:19:10,
2025-06-05T19:19:14,The estimated value based on Rs/R0=9.68 is: 16.81 ppm
2025-06-05T19:19:14,--- BME280 Sensor Data ---
2025-06-05T19:19:14,Temperature: 26.13 °C
2025-06-05T19:19:14,Pressure: 987.57 hPa
2025-06-05T19:19:14,Humidity: 57.48 %
2025-06-05T19:19:14,
2025-06-05T19:19:18,The estimated value based on Rs/R0=9.59 is: 17.08 ppm
2025-06-05T19:19:18,--- BME280 Sensor Data ---
2025-06-05T19:19:18,Temperature: 26.13 °C
2025-06-05T19:19:18,Pressure: 987.58 hPa
2025-06-05T19:19:18,Humidity: 57.48 %
2025-06-05T19:19:18,
2025-06-05T19:19:23,The estimated value based on Rs/R0=9.59 is: 17.08 ppm
2025-06-05T19:19:23,--- BME280 Sensor Data ---
2025-06-05T19:19:23,Temperature: 26.14 °C
2025-06-05T19:19:23,Pressure: 987.58 hPa
2025-06-05T19:19:23,Humidity: 57.51 %
2025-06-05T19:19:23,
2025-06-05T19:19:27,The estimated value based on Rs/R0=9.71 is: 16.73 ppm
2025-06-05T19:19:27,--- BME280 Sensor Data ---
2025-06-05T19:19:27,Temperature: 26.14 °C
2025-06-05T19:19:27,Pressure: 987.58 hPa
2025-06-05T19:19:27,Humidity: 57.48 %
2025-06-05T19:19:27,
2025-06-05T19:19:31,The estimated value based on Rs/R0=9.62 is: 16.99 ppm
2025-06-05T19:19:31,--- BME280 Sensor Data ---
2025-06-05T19:19:31,Temperature: 26.14 °C
2025-06-05T19:19:31,Pressure: 987.58 hPa
2025-06-05T19:19:31,Humidity: 57.52 %
2025-06-05T19:19:31,
2025-06-05T19:19:35,The estimated value based on Rs/R0=9.59 is: 17.08 ppm
2025-06-05T19:19:35,--- BME280 Sensor Data ---
2025-06-05T19:19:35,Temperature: 26.15 °C
2025-06-05T19:19:35,Pressure: 987.58 hPa
2025-06-05T19:19:35,Humidity: 57.50 %
2025-06-05T19:19:35,
2025-06-05T19:19:40,The estimated value based on Rs/R0=9.71 is: 16.73 ppm
2025-06-05T19:19:40,--- BME280 Sensor Data ---
2025-06-05T19:19:40,Temperature: 26.15 °C
2025-06-05T19:19:40,Pressure: 987.57 hPa
2025-06-05T19:19:40,Humidity: 57.50 %
2025-06-05T19:19:40,
2025-06-05T19:19:44,The estimated value based on Rs/R0=9.76 is: 16.55 ppm
2025-06-05T19:19:44,--- BME280 Sensor Data ---
2025-06-05T19:19:44,Temperature: 26.15 °C
2025-06-05T19:19:44,Pressure: 987.58 hPa
2025-06-05T19:19:44,Humidity: 57.49 %
2025-06-05T19:19:44,
2025-06-05T19:19:48,The estimated value based on Rs/R0=9.76 is: 16.55 ppm
2025-06-05T19:19:48,--- BME280 Sensor Data ---
2025-06-05T19:19:48,Temperature: 26.15 °C
2025-06-05T19:19:48,Pressure: 987.60 hPa
2025-06-05T19:19:48,Humidity: 57.48 %
2025-06-05T19:19:48,
2025-06-05T19:19:52,The estimated value based on Rs/R0=9.65 is: 16.90 ppm
2025-06-05T19:19:52,--- BME280 Sensor Data ---
2025-06-05T19:19:52,Temperature: 26.15 °C
2025-06-05T19:19:52,Pressure: 987.58 hPa
2025-06-05T19:19:52,Humidity: 57.48 %
2025-06-05T19:19:52,
2025-06-05T19:19:57,The estimated value based on Rs/R0=9.71 is: 16.73 ppm
2025-06-05T19:19:57,--- BME280 Sensor Data ---
2025-06-05T19:19:57,Temperature: 26.16 °C
2025-06-05T19:19:57,Pressure: 987.59 hPa
2025-06-05T19:19:57,Humidity: 57.54 %
2025-06-05T19:19:57,
2025-06-05T19:20:01,The estimated value based on Rs/R0=9.62 is: 16.99 ppm
2025-06-05T19:20:01,--- BME280 Sensor Data ---
2025-06-05T19:20:01,Temperature: 26.16 °C
2025-06-05T19:20:01,Pressure: 987.59 hPa
2025-06-05T19:20:01,Humidity: 57.54 %
2025-06-05T19:20:01,
2025-06-05T19:20:05,The estimated value based on Rs/R0=9.56 is: 17.17 ppm
2025-06-05T19:20:05,--- BME280 Sensor Data ---
2025-06-05T19:20:05,Temperature: 26.16 °C
2025-06-05T19:20:05,Pressure: 987.58 hPa
2025-06-05T19:20:05,Humidity: 57.50 %
2025-06-05T19:20:05,
2025-06-05T19:20:09,The estimated value based on Rs/R0=9.65 is: 16.90 ppm
2025-06-05T19:20:09,--- BME280 Sensor Data ---
2025-06-05T19:20:09,Temperature: 26.16 °C
2025-06-05T19:20:09,Pressure: 987.58 hPa
2025-06-05T19:20:10,Humidity: 57.55 %
2025-06-05T19:20:10,
2025-06-05T19:20:14,The estimated value based on Rs/R0=9.68 is: 16.81 ppm
2025-06-05T19:20:14,--- BME280 Sensor Data ---
2025-06-05T19:20:14,Temperature: 26.17 °C
2025-06-05T19:20:14,Pressure: 987.59 hPa
2025-06-05T19:20:14,Humidity: 57.53 %
2025-06-05T19:20:14,
2025-06-05T19:20:18,The estimated value based on Rs/R0=9.68 is: 16.81 ppm
2025-06-05T19:20:18,--- BME280 Sensor Data ---
2025-06-05T19:20:18,Temperature: 26.17 °C
2025-06-05T19:20:18,Pressure: 987.58 hPa
2025-06-05T19:20:18,Humidity: 57.53 %
2025-06-05T19:20:18,
2025-06-05T19:20:22,The estimated value based on Rs/R0=9.73 is: 16.64 ppm
2025-06-05T19:20:22,--- BME280 Sensor Data ---
2025-06-05T19:20:22,Temperature: 26.18 °C
2025-06-05T19:20:22,Pressure: 987.59 hPa
2025-06-05T19:20:22,Humidity: 57.57 %
2025-06-05T19:20:22,
2025-06-05T19:20:26,The estimated value based on Rs/R0=9.71 is: 16.73 ppm
2025-06-05T19:20:26,--- BME280 Sensor Data ---
2025-06-05T19:20:26,Temperature: 26.18 °C
2025-06-05T19:20:26,Pressure: 987.59 hPa
2025-06-05T19:20:26,Humidity: 57.67 %
2025-06-05T19:20:26,
2025-06-05T19:20:31,The estimated value based on Rs/R0=9.68 is: 16.81 ppm
2025-06-05T19:20:31,--- BME280 Sensor Data ---
2025-06-05T19:20:31,Temperature: 26.19 °C
2025-06-05T19:20:31,Pressure: 987.60 hPa
2025-06-05T19:20:31,Humidity: 57.66 %
2025-06-05T19:20:31,
